500 25000
204 7 423
28 373 898
195 377 416
353 303 461
452 411 939
308 108 24
446 147 957
41 474 51
473 446 269
404 107 297
121 164 304
396 44 177
146 239 554
414 444 210
227 248 121
166 56 81
42 2 80
351 396 907
24 126 813
173 99 977
477 347 21
7 493 613
413 407 909
123 134 158
96 153 66
29 195 921
110 399 669
17 153 390
222 177 16
35 202 967
364 180 314
238 39 659
203 452 66
464 428 53
122 376 206
189 406 253
462 368 152
131 237 306
21 459 335
390 347 538
209 63 570
24 301 609
35 356 913
102 321 341
7 295 718
213 484 124
318 298 992
471 429 229
129 303 40
316 193 239
206 402 803
128 278 456
89 314 813
3 268 486
344 275 281
62 340 618
38 158 416
382 481 698
463 462 501
4 131 194
243 337 448
355 55 893
168 58 513
6 255 788
287 317 980
257 208 638
174 90 972
224 54 934
225 410 917
271 5 755
71 404 73
298 259 480
43 279 891
56 285 646
196 424 815
176 182 523
167 208 466
491 432 520
277 9 782
195 280 787
302 203 691
375 2 950
207 397 81
450 306 218
448 2 643
116 31 677
139 50 385
457 41 169
477 170 530
259 365 662
399 167 365
90 394 219
393 454 117
474 404 923
193 353 777
188 321 308
365 312 210
102 270 751
123 247 922
153 359 639
315 258 307
180 200 53
252 93 7
369 420 412
144 465 617
421 153 790
82 18 102
144 472 372
248 95 120
170 100 831
161 415 941
320 447 141
374 199 87
381 420 859
145 64 324
114 338 477
404 272 347
7 416 671
231 164 618
203 186 718
34 200 633
327 20 432
321 394 984
260 128 404
119 125 321
443 92 511
272 348 635
471 207 903
494 439 420
112 142 458
330 29 658
315 356 679
247 177 925
83 289 405
340 408 883
13 203 975
376 327 175
11 150 235
266 144 174
186 256 816
145 438 697
155 253 54
334 353 83
112 436 873
369 128 633
252 141 337
79 17 516
107 380 167
342 147 663
16 185 920
184 182 358
382 338 964
288 24 817
223 136 605
448 6 734
82 110 227
271 42 245
139 149 477
158 491 476
322 7 662
94 43 844
304 277 682
268 65 207
437 141 695
43 89 553
129 23 664
356 146 58
453 286 207
431 444 698
407 266 57
421 212 100
266 17 878
300 285 795
7 75 936
55 118 878
108 99 901
124 455 400
182 409 186
241 192 482
439 451 601
496 373 813
449 491 830
179 291 968
474 151 395
263 206 365
141 166 964
394 143 771
294 177 32
332 419 224
315 210 528
268 207 901
81 8 892
264 187 183
84 13 686
331 276 392
196 269 911
160 164 554
431 310 83
464 143 2
40 310 713
68 430 272
469 363 132
213 127 819
249 63 832
435 394 109
180 90 230
91 102 394
497 386 57
80 350 52
435 390 214
0 311 144
124 132 7
256 346 987
427 95 402
259 382 297
220 62 739
451 153 342
197 2 228
106 83 430
158 370 172
372 370 983
16 494 116
376 102 814
363 29 261
265 140 143
414 213 206
6 16 711
200 213 214
280 320 797
210 330 519
234 203 389
70 71 735
38 299 337
352 162 718
113 280 358
108 46 71
314 52 87
378 252 153
92 32 325
241 94 655
260 329 710
1 399 282
236 437 433
425 141 96
143 106 728
353 214 274
277 381 179
364 259 431
369 203 964
194 296 558
202 56 739
412 57 138
46 145 927
480 70 920
428 65 26
8 418 93
134 195 326
313 412 437
245 281 640
61 328 436
471 382 344
211 146 753
349 193 398
129 25 968
49 305 533
428 165 803
373 299 499
199 113 411
136 210 44
128 271 724
64 242 106
260 305 253
13 7 798
411 136 175
231 37 832
116 465 497
419 190 796
418 389 909
181 377 971
78 5 242
302 421 337
409 181 642
14 46 649
164 457 637
339 40 175
171 156 992
168 76 183
316 346 424
78 380 802
49 458 307
144 260 81
481 21 114
475 35 161
125 51 970
262 390 511
289 413 667
282 433 595
317 250 794
241 180 674
43 229 632
203 373 744
136 206 118
250 182 653
263 307 205
234 421 947
245 211 713
264 493 646
212 162 248
6 403 428
180 299 510
164 354 383
260 490 442
378 92 624
384 356 931
441 442 352
240 187 415
453 303 760
452 15 922
200 373 678
481 405 477
343 421 331
78 182 673
20 412 265
144 296 621
427 89 63
132 330 102
47 135 758
308 87 273
82 140 499
260 473 404
237 316 326
420 394 8
93 267 272
359 411 69
332 191 10
248 323 692
202 370 828
312 30 415
438 113 55
437 225 880
341 463 696
167 235 943
27 329 710
300 40 973
221 224 664
231 324 487
424 379 210
252 191 592
19 129 205
427 66 431
307 408 746
356 427 833
299 455 14
361 255 554
186 476 131
203 207 807
42 483 686
252 235 230
345 255 359
402 182 278
185 341 686
283 197 613
117 496 68
131 209 675
38 248 151
21 451 211
328 493 194
367 246 930
97 443 537
456 197 71
234 383 412
272 166 610
238 135 958
158 267 520
334 157 268
337 178 219
48 6 212
243 373 810
173 322 605
62 279 803
133 365 538
397 490 556
359 228 692
318 238 959
190 72 616
458 410 794
29 310 652
93 53 878
256 78 700
361 140 831
16 125 197
54 23 187
111 382 767
303 52 5
114 242 930
82 52 692
228 81 502
380 175 556
110 431 134
311 144 127
494 161 604
191 67 627
230 178 862
349 333 266
355 299 361
137 381 765
181 109 347
183 342 374
91 304 657
78 467 801
205 462 314
309 153 382
289 236 912
3 85 246
121 292 397
334 281 279
100 462 740
447 498 434
173 89 239
182 167 206
483 224 168
150 34 674
32 175 262
296 30 699
394 151 344
292 338 125
71 438 440
163 237 438
98 410 27
337 92 47
395 427 271
416 77 657
442 461 832
56 110 714
255 4 218
451 296 56
429 219 994
369 383 731
159 481 993
186 170 437
233 417 216
357 333 646
14 127 459
199 183 569
413 291 574
483 242 870
39 171 90
385 392 325
468 51 306
461 238 328
250 323 245
467 32 931
465 47 58
424 98 594
494 363 885
142 386 651
232 124 43
409 92 595
215 406 685
43 8 360
141 327 893
72 292 292
130 217 390
224 63 253
109 483 100
89 125 339
240 210 963
283 119 407
230 187 313
415 230 822
276 223 501
21 295 294
313 426 11
203 2 926
308 464 909
261 405 534
100 145 596
415 280 716
174 11 903
488 278 485
162 54 709
163 427 504
309 240 282
172 295 637
98 456 101
7 217 6
394 317 3
490 84 135
206 258 998
461 98 277
447 112 683
8 128 111
12 289 851
147 462 999
284 60 455
237 68 672
95 314 341
450 304 777
85 363 387
84 324 838
361 123 950
44 483 930
7 348 720
211 495 682
210 131 94
17 220 162
189 315 828
382 117 633
159 202 348
398 138 524
236 351 648
39 248 483
469 255 831
41 466 326
75 28 957
170 45 529
184 86 344
13 468 461
498 479 16
346 378 6
370 114 358
370 153 458
354 123 65
364 92 412
173 262 958
203 298 44
47 311 13
361 309 992
229 7 722
235 378 337
445 100 490
403 306 465
469 492 334
353 208 426
265 381 540
223 84 838
120 484 502
133 197 811
477 426 819
200 13 49
389 459 501
231 362 308
197 183 652
31 36 860
309 302 593
201 377 678
39 497 514
41 482 563
205 460 841
376 12 354
425 253 813
278 484 28
86 33 711
238 64 248
450 225 402
44 426 779
74 318 777
440 211 759
3 416 71
344 292 435
50 69 540
364 348 525
392 286 558
455 25 975
203 327 200
105 371 479
237 297 297
14 237 508
125 240 277
49 436 421
484 487 991
25 203 191
402 447 977
460 402 354
287 106 182
340 63 405
319 300 703
468 166 940
328 292 33
105 341 821
27 177 308
370 54 363
61 456 310
390 269 213
97 408 319
131 248 734
388 419 535
91 387 553
384 216 845
269 173 538
90 200 68
251 422 622
114 483 431
425 226 52
138 175 460
309 306 561
395 194 480
282 138 868
336 22 936
33 143 609
72 233 662
492 336 84
114 451 420
397 228 998
301 218 173
114 379 479
175 274 25
7 57 163
375 245 537
163 278 180
273 202 266
287 194 102
371 161 53
143 410 133
141 212 851
314 178 230
145 353 357
171 360 766
334 88 11
224 251 289
404 376 844
170 15 38
125 239 199
30 382 110
164 24 174
367 190 852
450 336 57
307 7 917
73 193 357
436 269 961
77 174 689
421 196 205
460 173 944
11 204 326
473 220 702
147 87 893
499 37 81
408 196 940
326 269 985
35 57 755
496 135 781
186 56 329
243 368 503
187 232 707
365 205 427
420 205 866
313 56 904
246 465 952
186 143 722
171 178 631
278 27 266
59 65 175
389 308 395
392 495 127
451 212 185
230 132 390
448 297 946
352 43 911
305 81 554
379 253 585
362 31 612
129 443 677
156 332 985
51 76 832
31 379 896
216 461 529
458 409 326
404 114 722
168 271 303
222 150 408
307 12 440
419 493 883
448 1 67
285 405 495
117 436 874
14 4 687
395 462 96
73 218 710
295 386 481
99 461 483
7 120 348
299 40 693
34 340 695
453 126 100
448 95 388
174 461 744
361 356 206
310 430 776
20 77 15
354 28 476
337 36 96
185 187 488
231 74 329
426 27 307
378 328 902
266 2 716
10 216 572
68 26 854
344 398 284
211 252 812
187 90 200
136 127 240
124 210 814
305 136 341
464 14 21
435 142 92
7 62 970
214 259 368
498 470 121
162 158 63
363 146 542
103 270 253
269 428 241
462 392 608
484 111 740
360 46 735
452 406 797
274 472 56
142 322 527
263 484 37
178 199 683
221 302 305
326 71 233
67 386 478
175 370 941
268 230 988
3 34 246
300 308 218
357 302 892
236 418 728
273 96 928
456 169 82
113 347 6
347 415 392
177 442 262
118 62 344
458 65 730
56 366 38
126 75 692
18 311 110
247 436 707
175 244 728
109 357 76
115 56 343
7 233 137
121 204 200
465 14 265
195 71 483
85 197 910
278 216 73
240 315 9
447 342 753
28 451 963
104 67 519
447 426 605
84 48 809
284 365 823
402 413 246
385 498 944
148 128 512
221 369 327
83 168 669
188 196 620
151 152 539
23 99 466
128 36 366
289 172 231
464 74 144
211 312 495
155 460 975
19 33 696
346 116 717
367 305 765
487 308 918
379 331 869
345 311 405
211 100 78
294 417 504
291 128 816
286 135 628
113 154 14
310 352 630
379 219 287
144 58 948
62 437 779
432 134 443
189 197 43
119 344 812
124 135 940
292 273 427
273 386 433
287 48 637
269 427 708
409 72 267
357 486 556
488 270 43
431 460 92
475 431 936
139 407 71
80 200 344
359 325 83
145 464 631
282 233 411
491 142 835
110 351 821
18 340 592
61 271 904
6 98 187
442 238 595
366 170 295
62 29 972
145 26 936
129 161 521
40 4 16
375 114 367
48 484 707
492 398 479
396 404 429
436 346 667
31 212 837
178 275 719
150 272 745
86 401 906
459 293 910
475 168 376
343 217 861
402 61 111
233 458 515
163 394 713
330 277 426
168 455 53
387 105 677
484 43 579
391 2 872
153 478 393
30 173 962
243 75 523
354 309 333
221 472 579
434 302 856
212 322 811
117 209 768
295 194 311
226 437 666
450 442 144
343 472 169
157 67 744
33 273 53
366 494 877
298 429 532
154 141 854
318 111 564
86 406 110
250 132 399
416 82 341
412 278 666
81 287 233
177 320 859
83 39 705
460 337 134
492 343 628
347 13 239
263 452 997
225 202 481
124 470 915
465 234 45
131 315 833
217 344 505
428 427 44
133 240 733
120 232 429
100 431 942
191 46 746
188 271 448
169 247 770
84 213 504
130 196 819
315 265 164
217 179 683
302 299 268
83 399 551
26 90 98
272 130 721
73 299 469
343 235 34
348 217 82
19 32 200
35 205 245
479 274 924
14 76 75
134 12 326
186 38 916
136 162 898
357 87 49
178 283 285
64 131 354
499 2 739
199 38 944
444 369 70
221 383 498
296 370 10
475 56 900
243 192 915
142 401 502
191 432 137
328 348 268
183 347 123
422 46 161
218 343 382
140 416 117
149 39 543
401 283 587
316 425 841
171 468 773
308 297 121
429 332 321
52 106 219
65 176 62
447 316 830
64 306 895
404 307 934
447 209 569
387 25 994
228 48 315
353 357 112
326 286 796
147 190 402
367 255 578
281 54 746
112 118 52
7 22 860
293 322 421
363 61 298
209 289 347
24 142 56
488 320 342
284 468 384
186 187 639
116 468 193
362 432 163
267 291 538
127 85 212
400 300 773
198 361 62
45 386 556
101 226 376
295 363 196
179 49 235
170 18 556
215 232 988
379 499 780
269 478 217
481 378 869
254 77 730
168 122 468
224 76 195
452 371 58
1 403 459
236 425 329
292 141 62
281 20 61
413 141 540
482 122 918
351 376 495
433 44 970
402 120 398
449 72 121
359 425 524
170 162 950
352 454 591
414 87 963
327 0 956
367 334 78
138 37 806
485 471 202
307 225 822
205 26 746
327 237 172
203 259 334
153 111 140
96 377 228
411 205 728
367 72 915
297 62 952
103 48 275
479 61 378
226 240 467
250 443 727
436 97 190
76 45 568
304 309 273
385 176 197
300 326 260
104 429 308
380 87 663
232 418 76
111 496 316
78 246 612
157 182 209
348 111 106
416 415 915
41 300 944
238 452 622
498 57 403
306 289 490
322 21 409
419 63 504
31 220 538
92 68 149
50 336 565
466 377 217
262 116 22
384 466 579
287 125 220
130 299 241
391 49 374
148 320 789
152 351 509
191 295 430
340 346 766
257 164 496
475 278 464
349 162 930
428 301 555
0 431 354
241 174 756
467 323 76
256 475 280
118 18 575
48 211 773
162 295 215
126 144 729
409 424 383
464 424 666
319 166 341
427 485 664
3 242 491
283 360 362
211 408 73
336 426 893
274 441 689
341 419 185
423 328 962
158 293 886
324 464 904
165 391 390
181 246 484
25 382 344
239 93 104
312 429 530
57 55 823
98 249 743
284 24 571
246 182 216
484 6 32
241 24 775
483 57 874
467 434 256
311 173 201
267 337 482
149 395 538
473 493 639
216 129 515
139 227 197
208 64 55
92 305 431
220 288 341
94 255 275
350 418 949
403 185 786
385 334 33
275 159 27
414 227 656
281 219 236
478 427 300
386 371 105
169 443 745
10 37 352
286 239 270
87 142 307
225 380 993
259 155 153
138 422 880
294 203 99
382 34 378
182 420 102
287 89 45
384 452 435
236 238 526
6 177 521
165 402 901
159 161 556
312 299 478
192 446 182
144 180 568
374 363 988
476 2 929
374 387 733
309 123 323
208 147 255
461 306 416
18 470 568
348 163 366
382 159 46
450 33 261
290 10 764
72 384 3
305 45 978
481 232 960
481 293 960
236 254 618
5 124 89
425 473 604
143 207 263
41 10 796
303 152 658
419 224 894
422 382 291
400 363 24
213 196 317
173 433 423
291 290 548
380 215 873
336 358 580
99 251 590
248 54 243
258 473 819
5 247 53
296 0 268
172 213 465
341 238 898
313 114 755
186 450 465
118 50 216
61 150 623
156 408 448
475 413 696
381 62 696
149 234 761
114 76 499
364 193 880
404 6 994
159 44 797
476 14 847
193 75 997
316 231 257
264 59 523
312 440 85
360 89 319
121 56 247
472 420 940
205 325 298
51 336 194
348 313 209
195 358 284
44 26 368
154 142 927
177 455 367
114 167 308
433 289 864
33 113 285
325 318 962
124 370 650
318 70 815
27 118 673
164 162 551
32 168 194
459 345 1
178 459 668
338 245 309
203 130 423
340 455 593
154 79 815
304 250 886
472 129 4
145 293 518
49 177 687
95 488 384
96 18 696
116 357 293
53 104 378
146 258 810
462 414 560
200 386 541
204 384 335
222 285 364
261 380 853
146 328 871
342 296 80
487 74 992
410 127 948
140 126 558
450 88 473
362 288 211
404 344 447
91 66 732
455 180 964
308 326 792
32 20 589
112 7 663
457 269 143
405 409 269
464 212 209
437 74 849
0 330 193
448 421 111
32 377 291
497 37 469
289 69 989
230 34 848
246 491 117
10 360 591
219 149 165
68 2 496
113 302 269
76 334 498
220 183 36
189 325 457
31 55 491
379 301 834
349 42 83
228 52 443
319 123 445
336 43 947
184 156 101
454 85 935
452 305 471
340 494 796
298 25 203
141 257 5
328 106 399
411 334 304
206 5 927
151 341 471
450 26 127
51 332 64
339 136 869
310 477 364
458 127 241
161 120 998
18 448 104
418 211 790
222 418 295
149 421 137
472 372 515
452 275 699
16 466 835
386 128 312
102 86 291
343 248 264
194 118 712
150 36 424
441 110 194
88 112 115
77 84 839
92 36 467
291 405 933
479 291 414
435 440 600
199 134 219
263 137 607
39 430 70
233 18 182
349 96 118
7 184 912
293 163 55
207 306 800
59 93 92
12 144 227
83 408 716
42 299 646
112 33 664
294 234 260
265 274 653
272 134 837
443 486 158
95 397 252
187 409 896
266 344 156
482 387 456
128 499 341
293 146 927
405 411 701
58 35 187
247 71 614
247 14 452
258 461 350
10 148 611
258 415 456
415 397 843
223 378 842
64 171 988
491 428 751
44 339 786
84 86 709
50 186 575
3 444 536
205 306 685
316 416 952
272 183 349
115 406 227
310 322 250
298 165 31
402 62 222
188 146 660
250 196 698
325 51 142
362 256 300
399 73 717
351 345 900
52 313 659
132 123 333
234 273 499
265 27 913
339 216 59
0 466 607
198 143 659
193 357 915
493 108 340
62 311 38
315 364 851
474 348 326
307 82 451
158 200 979
71 39 47
482 39 365
90 238 508
101 431 718
16 276 326
209 191 638
247 6 354
450 332 702
276 139 284
79 150 836
410 221 876
457 204 415
174 146 505
35 247 288
253 115 417
431 324 608
69 71 466
275 21 298
477 149 789
114 81 439
450 491 513
326 301 69
94 475 715
451 10 814
92 115 929
9 47 106
469 468 677
435 244 551
85 73 700
374 187 633
166 490 625
31 316 426
100 262 753
167 66 116
333 158 583
262 19 482
368 488 451
398 423 547
301 360 472
353 234 512
487 252 502
112 283 670
390 235 785
495 254 351
111 87 9
195 202 528
177 422 868
480 172 143
379 473 3
204 327 589
216 314 342
218 278 477
240 168 65
25 163 819
376 127 259
237 174 961
117 351 735
485 184 908
128 415 381
131 119 560
73 335 374
267 405 504
244 146 672
161 171 688
333 400 667
444 489 841
405 107 44
492 444 728
400 73 144
134 56 763
194 481 451
421 248 356
425 345 854
450 6 378
490 191 278
350 392 226
394 385 23
123 137 96
119 123 504
234 170 486
185 91 734
394 368 431
248 170 938
478 12 481
108 21 617
228 371 9
306 118 746
329 93 384
425 212 7
282 298 177
206 230 489
138 330 511
428 309 24
409 417 397
26 497 769
36 304 887
